trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.05, 'e': 0.95}",20,0,-53.58915168959701,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
2,False,"{'a': 0.05, 'e': 0.8999999999999999}",20,0,-58.04281538336487,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.05, 'e': 0.8499999999999999}",20,0,-84.41618514240936,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
4,False,"{'a': 0.05, 'e': 0.7999999999999998}",30,0,-141.1401277035393,"{0: 19, 1: 1, 2: 6, 3: 3, 4: 1}",0
5,False,"{'a': 0.05, 'e': 0.7499999999999998}",30,0,-215.67181239869802,"{0: 13, 1: 4, 2: 9, 3: 2, 4: 2}",0
6,False,"{'a': 0.05, 'e': 0.6999999999999997}",20,0,-114.79999747197752,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
7,False,"{'a': 0.05, 'e': 0.6499999999999997}",20,0,-71.17260775826723,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
8,False,"{'a': 0.05, 'e': 0.5999999999999996}",30,19,-45.99293319393225,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 1}",1
9,False,"{'a': 0.05, 'e': 0.5499999999999996}",20,0,-59.09577480875148,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
10,False,"{'a': 0.05, 'e': 0.4999999999999996}",25,0,-95.7805092820243,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 2}",0
11,False,"{'a': 0.05, 'e': 0.4499999999999996}",20,0,-41.07767340707645,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
12,False,"{'a': 0.05, 'e': 0.39999999999999963}",30,18,-4.311301047660116,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.05, 'e': 0.34999999999999964}",25,14,-46.18937171443033,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 1}",1
14,False,"{'a': 0.05, 'e': 0.29999999999999966}",25,0,-9.775257351722932,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
15,False,"{'a': 0.05, 'e': 0.24999999999999967}",20,13,12.893177252374155,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.05, 'e': 0.19999999999999968}",30,0,-57.96597079485324,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 2}",0
17,False,"{'a': 0.05, 'e': 0.1499999999999997}",25,0,-0.9517244195381738,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
18,False,"{'a': 0.05, 'e': 0.09999999999999969}",35,12,31.008741875780622,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.05, 'e': 0.049999999999999684}",30,0,-107.23536518277696,"{0: 25, 1: 0, 2: 2, 3: 0, 4: 3}",0
20,False,"{'a': 0.05, 'e': -3.191891195797325e-16}",25,13,21.731101935693466,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,8,-22.39400273444362,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",20,7,7.760461178196526,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",35,14,38.198668989423645,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",35,5,-38.509689157327415,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 2}",1
5,True,"{'a': 0, 'e': 0}",30,24,11.322351575652464,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,1,37.46244211866075,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",35,21,-57.983272293734885,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 2}",1
8,True,"{'a': 0, 'e': 0}",30,0,33.498325107339085,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,0,-2.1522769636170227,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,19.1167767086372,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
