trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.05, 'e': 0.99}",30,0,-201.9645657604916,"{0: 15, 1: 3, 2: 8, 3: 2, 4: 2}",0
2,False,"{'a': 0.05, 'e': 0.9801}",20,0,-42.94047124570145,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
3,False,"{'a': 0.05, 'e': 0.970299}",20,0,-103.03270075415665,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
4,False,"{'a': 0.05, 'e': 0.96059601}",25,0,-119.10031522400531,"{0: 12, 1: 3, 2: 8, 3: 2, 4: 0}",0
5,False,"{'a': 0.05, 'e': 0.9509900498999999}",25,0,-186.0881752529118,"{0: 13, 1: 5, 2: 3, 3: 1, 4: 3}",0
6,False,"{'a': 0.05, 'e': 0.941480149401}",25,9,-50.62728950372359,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 0}",1
7,False,"{'a': 0.05, 'e': 0.9320653479069899}",35,10,-80.97210111258836,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",1
8,False,"{'a': 0.05, 'e': 0.9227446944279201}",20,2,-69.65871128851336,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 1}",1
9,False,"{'a': 0.05, 'e': 0.9135172474836408}",25,0,-50.54864152865002,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
10,False,"{'a': 0.05, 'e': 0.9043820750088044}",20,0,-116.37816288521462,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
11,False,"{'a': 0.05, 'e': 0.8953382542587164}",20,0,-67.1997599318475,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.05, 'e': 0.8863848717161292}",20,6,-47.093730889414644,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 1}",1
13,False,"{'a': 0.05, 'e': 0.8775210229989678}",25,0,-67.21246066330986,"{0: 21, 1: 0, 2: 1, 3: 2, 4: 1}",0
14,False,"{'a': 0.05, 'e': 0.8687458127689782}",25,0,-194.83803389805766,"{0: 12, 1: 3, 2: 7, 3: 0, 4: 3}",0
15,False,"{'a': 0.05, 'e': 0.8600583546412884}",20,6,-38.354638441844,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
16,False,"{'a': 0.05, 'e': 0.8514577710948755}",30,0,-102.72895892188868,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
17,False,"{'a': 0.05, 'e': 0.8429431933839268}",30,0,-135.10056609790217,"{0: 21, 1: 2, 2: 3, 3: 2, 4: 2}",0
18,False,"{'a': 0.05, 'e': 0.8345137614500875}",20,0,-238.03692768404184,"{0: 11, 1: 0, 2: 3, 3: 1, 4: 5}",0
19,False,"{'a': 0.05, 'e': 0.8261686238355866}",20,0,-83.49317168315991,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
