trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 1.0}",30,0,-278.31957554216063,"{0: 16, 1: 3, 2: 4, 3: 2, 4: 5}",0
2,False,"{'a': 0.9, 'e': 1.0}",35,0,-146.5429603938228,"{0: 26, 1: 1, 2: 5, 3: 0, 4: 3}",0
3,False,"{'a': 0.9, 'e': 1.0}",20,0,-69.7600071887486,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
4,False,"{'a': 0.9, 'e': 1.0}",25,4,-40.30824800898979,"{0: 16, 1: 0, 2: 4, 3: 1, 4: 0}",1
5,False,"{'a': 0.9, 'e': 1.0}",20,0,-28.42121321416183,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
6,False,"{'a': 0.9, 'e': 1.0}",20,0,-145.4437149490732,"{0: 9, 1: 1, 2: 7, 3: 2, 4: 1}",0
7,False,"{'a': 0.9, 'e': 1.0}",25,0,-94.01117208240635,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
8,False,"{'a': 0.9, 'e': 1.0}",20,0,-183.45536625226976,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
9,False,"{'a': 0.9, 'e': 1.0}",20,0,-21.976418931112207,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.9, 'e': 1.0}",25,0,-85.75487818138538,"{0: 19, 1: 3, 2: 1, 3: 0, 4: 2}",0
11,False,"{'a': 0.9, 'e': 1.0}",20,0,-82.94680838792857,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
12,False,"{'a': 0.9, 'e': 1.0}",30,0,-197.93849477366268,"{0: 16, 1: 5, 2: 5, 3: 1, 4: 3}",0
13,False,"{'a': 0.9, 'e': 1.0}",20,0,-81.29898432660504,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
14,False,"{'a': 0.9, 'e': 1.0}",20,0,-83.98307046165228,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
15,False,"{'a': 0.9, 'e': 1.0}",20,0,-176.77094958447873,"{0: 8, 1: 3, 2: 5, 3: 2, 4: 2}",0
16,False,"{'a': 0.9, 'e': 1.0}",20,0,-143.1581709137918,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
17,False,"{'a': 0.9, 'e': 1.0}",25,0,-122.67944791883664,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
18,False,"{'a': 0.9, 'e': 1.0}",20,0,-136.00525074538385,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
19,False,"{'a': 0.9, 'e': 1.0}",30,0,-223.51072419954846,"{0: 12, 1: 4, 2: 10, 3: 2, 4: 2}",0
20,False,"{'a': 0.9, 'e': 1.0}",20,0,-104.20830932745875,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
1,True,"{'a': 0.9, 'e': 1.0}",30,0,-189.0538235627227,"{0: 17, 1: 4, 2: 5, 3: 1, 4: 3}",0
2,True,"{'a': 0.9, 'e': 1.0}",25,0,-266.77917021101433,"{0: 7, 1: 3, 2: 8, 3: 5, 4: 2}",0
3,True,"{'a': 0.9, 'e': 1.0}",25,0,-147.2847986891855,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 2}",0
4,True,"{'a': 0.9, 'e': 1.0}",20,0,-57.3957855188621,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
5,True,"{'a': 0.9, 'e': 1.0}",25,0,-44.82574916396146,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",0
6,True,"{'a': 0.9, 'e': 1.0}",20,0,-119.32791746198303,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
7,True,"{'a': 0.9, 'e': 1.0}",35,10,-69.18028599701908,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",1
8,True,"{'a': 0.9, 'e': 1.0}",25,0,-106.31403582461934,"{0: 16, 1: 5, 2: 2, 3: 0, 4: 2}",0
9,True,"{'a': 0.9, 'e': 1.0}",25,0,-184.68263863932017,"{0: 13, 1: 4, 2: 4, 3: 1, 4: 3}",0
10,True,"{'a': 0.9, 'e': 1.0}",25,0,-160.9658385890302,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
11,True,"{'a': 0.9, 'e': 1.0}",25,0,-285.57995596913435,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 6}",0
12,True,"{'a': 0.9, 'e': 1.0}",25,0,-71.63387611524684,"{0: 14, 1: 6, 2: 4, 3: 1, 4: 0}",0
13,True,"{'a': 0.9, 'e': 1.0}",20,0,-55.999501712383164,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
14,True,"{'a': 0.9, 'e': 1.0}",35,0,-208.8702452932559,"{0: 18, 1: 4, 2: 9, 3: 2, 4: 2}",0
15,True,"{'a': 0.9, 'e': 1.0}",20,0,-137.2854873410063,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
16,True,"{'a': 0.9, 'e': 1.0}",25,0,-271.5509432713984,"{0: 10, 1: 5, 2: 4, 3: 1, 4: 5}",0
17,True,"{'a': 0.9, 'e': 1.0}",25,4,-78.43172291952793,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 1}",1
18,True,"{'a': 0.9, 'e': 1.0}",25,0,-139.90093387601266,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 3}",0
19,True,"{'a': 0.9, 'e': 1.0}",20,0,-107.33347431834203,"{0: 10, 1: 1, 2: 7, 3: 2, 4: 0}",0
20,True,"{'a': 0.9, 'e': 1.0}",35,0,-193.2691618626582,"{0: 16, 1: 8, 2: 7, 3: 3, 4: 1}",0
